cusip,ticker,name,year,First_name,Last_name,Ethnicity,Country_of_Empl,FULLNAME,OWNLESS1,classification,indexname,RT_ID,Year_Term_Ends,Pcnt_Ctrl_Votingpower,female,Year_of_termination,Attend_LESS75_PCT,Age,Outside_Public_Boards,DirSince
00846U101,A,AGILENT TECHNOLOGIES INC.,2007,DAVID M.,LAWRENCE,CAUCASIAN,,DAVID M LAWRENCE,,I,S&P 500,5964,2011,,,,,67,3,1999
00846U101,A,AGILENT TECHNOLOGIES INC.,2007,JAMES G.,CULLEN,CAUCASIAN,,JAMES G CULLEN,,I,S&P 500,5964,2010,,,,,65,3,2000
00846U101,A,AGILENT TECHNOLOGIES INC.,2007,A. BARRY,RAND,AFRICAN-AMERICAN,,A RAND,,I,S&P 500,5964,2011,,,,,63,1,2000
00846U101,A,AGILENT TECHNOLOGIES INC.,2007,KOH BOON,HWEE,ASIAN,Singapore,KOH BOON HWEE,,I,S&P 500,5964,2009,1.3000,,,,57,4,2003
00846U101,A,AGILENT TECHNOLOGIES INC.,2007,ROBERT J.,HERBOLD,CAUCASIAN,USA,ROBERT J HERBOLD,,I,S&P 500,5964,2009,,,,,65,1,2000
00846U101,A,AGILENT TECHNOLOGIES INC.,2007,ROBERT L.,JOSS,CAUCASIAN,USA,ROBERT L JOSS,,I,S&P 500,5964,2010,,,,,66,1,2003
00846U101,A,AGILENT TECHNOLOGIES INC.,2007,PAUL N.,CLARK,UNKNOWN,,PAUL N CLARK,,I,S&P 500,5964,2010,,,,,60,0,2006
00846U101,A,AGILENT TECHNOLOGIES INC.,2007,WILLIAM P.,SULLIVAN,CAUCASIAN,USA,WILLIAM P SULLIVAN,,E,S&P 500,5964,2009,,,,,57,1,2005
00846U101,A,AGILENT TECHNOLOGIES INC.,2008,DAVID M.,LAWRENCE,CAUCASIAN,,DAVID M LAWRENCE,Yes,I,S&P 500,5964,2011,0.0000,,,,68,3,1999
00846U101,A,AGILENT TECHNOLOGIES INC.,2008,JAMES G.,CULLEN,CAUCASIAN,,JAMES G CULLEN,Yes,I,S&P 500,5964,2010,0.0000,,,,66,3,2000
00846U101,A,AGILENT TECHNOLOGIES INC.,2008,A. BARRY,RAND,AFRICAN-AMERICAN,,A RAND,Yes,I,S&P 500,5964,2011,0.0000,,,,64,1,2000
00846U101,A,AGILENT TECHNOLOGIES INC.,2008,KOH BOON,HWEE,ASIAN,Singapore,KOH BOON HWEE,,I,S&P 500,5964,2009,1.0000,,,,58,4,2003
00846U101,A,AGILENT TECHNOLOGIES INC.,2008,ROBERT J.,HERBOLD,CAUCASIAN,USA,ROBERT J HERBOLD,Yes,I,S&P 500,5964,2009,0.0000,,,,66,1,2000
00846U101,A,AGILENT TECHNOLOGIES INC.,2008,ROBERT L.,JOSS,CAUCASIAN,USA,ROBERT L JOSS,Yes,I,S&P 500,5964,2010,0.0000,,,,67,2,2003
00846U101,A,AGILENT TECHNOLOGIES INC.,2008,PAUL N.,CLARK,UNKNOWN,,PAUL N CLARK,Yes,I,S&P 500,5964,2010,0.0000,,,,61,0,2006
00846U101,A,AGILENT TECHNOLOGIES INC.,2008,HEIDI,KUNZ,CAUCASIAN,USA,HEIDI KUNZ,Yes,I,S&P 500,5964,2011,0.0000,Yes,,,54,0,2000
00846U101,A,AGILENT TECHNOLOGIES INC.,2008,WILLIAM P.,SULLIVAN,CAUCASIAN,USA,WILLIAM P SULLIVAN,Yes,E,S&P 500,5964,2009,0.0000,,,,59,1,2005
00846U101,A,"AGILENT TECHNOLOGIES, INC.",2009,DAVID M.,LAWRENCE,CAUCASIAN,,DAVID M. LAWRENCE,Yes,I,S&P 500,,2012,,,,,69,3,1999
00846U101,A,"AGILENT TECHNOLOGIES, INC.",2009,JAMES G.,CULLEN,CAUCASIAN,,JAMES G. CULLEN,Yes,I,S&P 500,,2011,,,,,67,3,2000
00846U101,A,"AGILENT TECHNOLOGIES, INC.",2009,A. BARRY,RAND,AFRICAN-AMERICAN,,A. BARRY RAND,Yes,I,S&P 500,,2012,,,,,65,1,2000
00846U101,A,"AGILENT TECHNOLOGIES, INC.",2009,KOH BOON,HWEE,ASIAN,Singapore,KOH BOON HWEE,Yes,I,S&P 500,,2013,,,,,59,4,2003
00846U101,A,"AGILENT TECHNOLOGIES, INC.",2009,ROBERT J.,HERBOLD,CAUCASIAN,USA,ROBERT J. HERBOLD,Yes,I,S&P 500,,2013,,,,,67,0,2000
00846U101,A,"AGILENT TECHNOLOGIES, INC.",2009,ROBERT L.,JOSS,CAUCASIAN,USA,ROBERT L. JOSS,Yes,I,S&P 500,,2011,,,,,68,1,2003
00846U101,A,"AGILENT TECHNOLOGIES, INC.",2009,PAUL N.,CLARK,UNKNOWN,,PAUL N. CLARK,Yes,I,S&P 500,,2011,,,,,62,0,2006
00846U101,A,"AGILENT TECHNOLOGIES, INC.",2009,HEIDI,KUNZ,CAUCASIAN,USA,HEIDI KUNZ,Yes,I,S&P 500,,2012,,Yes,,,55,0,2000
00846U101,A,"AGILENT TECHNOLOGIES, INC.",2009,WILLIAM P.,SULLIVAN,CAUCASIAN,USA,WILLIAM P. SULLIVAN,Yes,E,S&P 500,,2013,,,,,59,2,2005
00846U101,A,"AGILENT TECHNOLOGIES, INC.",2010,DAVID M.,LAWRENCE,CAUCASIAN,,DAVID M. LAWRENCE,Yes,I,S&P 500,,2011,,,,,70,2,1999
00846U101,A,"AGILENT TECHNOLOGIES, INC.",2010,JAMES G.,CULLEN,CAUCASIAN,,JAMES G. CULLEN,Yes,I,S&P 500,,2013,,,,,68,3,2000
00846U101,A,"AGILENT TECHNOLOGIES, INC.",2010,A. BARRY,RAND,AFRICAN-AMERICAN,USA,A. BARRY RAND,Yes,I,S&P 500,,2011,,,,,66,1,2000
00846U101,A,"AGILENT TECHNOLOGIES, INC.",2010,KOH BOON,HWEE,ASIAN,Singapore,KOH BOON HWEE,Yes,I,S&P 500,,2012,,,,,60,3,2003
00846U101,A,"AGILENT TECHNOLOGIES, INC.",2010,ROBERT J.,HERBOLD,CAUCASIAN,USA,ROBERT J. HERBOLD,Yes,I,S&P 500,,2012,,,,,68,0,2000
00846U101,A,"AGILENT TECHNOLOGIES, INC.",2010,PAUL N.,CLARK,CAUCASIAN,USA,PAUL N. CLARK,Yes,I,S&P 500,,2013,,,,,64,2,2006
